seguridad.fecha_hecho;seguridad.cantidad;seguridad.latitud;seguridad.longitud;seguridad.sexo;seguridad.edad;seguridad.estado_civil;seguridad.grupo_actor;seguridad.actividad_delictiva;seguridad.parentesco;seguridad.ocupacion;seguridad.discapacidad;seguridad.grupo_especial;seguridad.medio_transporte;seguridad.nivel_academico;seguridad.testigo;seguridad.conducta;seguridad.modalidad;seguridad.caracterizacion;seguridad.conducta_especial;seguridad.arma_medio;seguridad.articulo_penal;seguridad.categoria_penal;seguridad.nombre_barrio;seguridad.codigo_barrio;seguridad.codigo_comuna;seguridad.lugar;seguridad.sede_receptora;seguridad.bien;seguridad.categoria_bien;seguridad.grupo_bien;seguridad.modelo;seguridad.color;seguridad.permiso;seguridad.unidad_medida
2007-02-26 21:00:00;1.0;6.28655944000;-75.54329477000;Mujer;47;Unión marital de hecho;Sin dato;Sin dato;Sin dato;Oficios varios;Sin dato;Sin dato;Sin dato;Primaria;1;reincidencia violencia intrafamiliar;Física;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;El Compromiso;#0108;1;Residencia;Comisaría 1 - comuna uno;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato
2007-02-26 21:00:00;1.0;6.28655944000;-75.54329477000;Hombre;18;Soltero(a);Sin dato;Sin dato;Sin dato;Estudiante;Sin dato;Sin dato;Sin dato;Bachillerato;1;reincidencia violencia intrafamiliar;Física;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;El Compromiso;#0108;1;Residencia;Comisaría 1 - comuna uno;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato
2007-02-26 21:00:00;1.0;6.28655944000;-75.54329477000;Mujer;18;Soltero(a);Sin dato;Sin dato;Sin dato;Estudiante;Sin dato;Sin dato;Sin dato;Bachillerato;1;reincidencia violencia intrafamiliar;Física;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;El Compromiso;#0108;1;Residencia;Comisaría 1 - comuna uno;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato
2007-11-16 08:00:00;1.0;6.23117772000;-75.55246545000;Mujer;53;Casado(a);Sin dato;Sin dato;Sin dato;Ama de casa;Sin dato;Sin dato;Sin dato;Primaria;1;reincidencia violencia intrafamiliar;Daño psicológico;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Cataluña;#0909;9;Residencia;Comisaría 9 - bueno aires;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato
2012-08-01 07:00:00;1.0;6.21371000000;-75.59979600000;Mujer;72;Viudo(a);Sin dato;Sin dato;Sin dato;Ama de casa;Sin dato;Sin dato;Sin dato;Primaria;0;reincidencia violencia intrafamiliar;Maltrato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;El Rincón;#1610;16;Residencia;Comisaría 16 - belén;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato
2013-01-25 16:00:00;1.0;6.30222500000;-75.54536700000;Mujer;30;Unión marital de hecho;Sin dato;Sin dato;Sin dato;Ama de casa;Sin dato;Sin dato;Sin dato;Primaria;1;reincidencia violencia intrafamiliar;Daño psicológico;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Popular;#0103;1;Residencia;Permanencia 1 el bosque;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato
2013-02-22 20:00:00;1.0;NaN;NaN;Mujer;30;Unión marital de hecho;Sin dato;Sin dato;Sin dato;Ama de casa;Sin dato;Sin dato;Sin dato;Primaria;0;reincidencia violencia intrafamiliar;Daño psicológico;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato 70 Altavista;SIN DATO 70 ALTAVISTA;70;Residencia;Comisaría altavista;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato
2013-02-25 09:00:00;1.0;6.27253100000;-75.56532500000;Mujer;35;Unión marital de hecho;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Bachillerato;1;reincidencia violencia intrafamiliar;Daño psicológico;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Moravia;#0405;4;Residencia;Comisaría 4 - campo valdés;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato
2013-04-01 14:00:00;1.0;6.28739900000;-75.55643300000;Mujer;32;Unión marital de hecho;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Primaria;0;reincidencia violencia intrafamiliar;Daño psicológico;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Berlin;#0401;4;Residencia;Comisaría 4 - campo valdés;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato
2013-04-18 22:00:00;1.0;NaN;NaN;Mujer;25;Soltero(a);Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;1;reincidencia violencia intrafamiliar;Daño psicológico;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Belén;#1603;16;Puesto de trabajo;Comisaría 16 - belén;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato;Sin dato
